REGIONE,PROVINCIA,COMUNE,NUMERI_CIVICI,CON_COORDINATE,COMPLETAMENTO_%,COORDINATE_AGGIUNTE,CIVICI_AGGIUNTI,COSA_E_CAMBIATO,ULTIMO_AGGIORNAMENTO,CON_COORDINATE_MESE_SCORSO,NUMERI_CIVICI_MESE_SCORSO,DATI_AGGIORNATI_AL,CODICE_ISTAT,CODICE_CATASTALE,CODICE_IPA
PIEMONTE,TORINO,CARMAGNOLA,7914,7903,99.86,5,5,Aggiunti civici e coordinate,2026-09,7898,7909,2026-09-15,001059,B791,c_b791
PUGLIA,BRINDISI,FASANO,26176,26176,100.0,5,5,Aggiunti civici e coordinate,2026-09,26171,26171,2026-09-15,074007,D508,c_d508
TRENTINO ALTO ADIGE,BOLZANO,BOLZANO,11942,11942,100.0,5,5,Aggiunti civici e coordinate,2026-09,11937,11937,2026-09-15,021008,A952,c_a952
TRENTINO ALTO ADIGE,TRENTO,PEIO,1681,1681,100.0,5,5,Aggiunti civici e coordinate,2026-09,1676,1676,2026-09-15,022136,G419,c_g419
VENETO,ROVIGO,BOSARO,741,741,100.0,5,4,Aggiunti civici e coordinate,2026-09,736,737,2026-09-15,029007,B069,c_b069
UMBRIA,PERUGIA,TODI,10710,10708,99.98,4,6,Aggiunti civici e coordinate,2026-09,10704,10704,2026-09-15,054052,L188,c_l188
EMILIA ROMAGNA,REGGIO EMILIA,CORREGGIO,10150,10149,99.99,4,5,Aggiunti civici e coordinate,2026-09,10145,10145,2026-09-15,035020,D037,c_d037
ABRUZZO,PESCARA,ROSCIANO,1821,1821,100.0,4,4,Aggiunti civici e coordinate,2026-09,1817,1817,2026-09-15,068035,H562,c_h562
EMILIA ROMAGNA,BOLOGNA,SALA BOLOGNESE,2620,2620,100.0,4,4,Aggiunti civici e coordinate,2026-09,2616,2616,2026-09-15,037050,H678,c_h678
EMILIA ROMAGNA,FERRARA,CENTO,12505,12505,100.0,4,4,Aggiunti civici e coordinate,2026-09,12501,12501,2026-09-15,038004,C469,c_c469
EMILIA ROMAGNA,FERRARA,RIVA DEL PO,5900,5900,100.0,4,4,Aggiunti civici e coordinate,2026-09,5896,5896,2026-09-15,038029,M410,c_m410
EMILIA ROMAGNA,MODENA,MONTEFIORINO,1733,1733,100.0,4,4,Aggiunti civici e coordinate,2026-09,1729,1729,2026-09-15,036025,F503,c_f503
EMILIA ROMAGNA,RAVENNA,FAENZA,19554,19554,100.0,4,4,Aggiunti civici e coordinate,2026-09,19550,19550,2026-09-15,039010,D458,c_d458
